RUN	StoreInvAdj.StoreInvAdjustment	storeinvadjustment	1697797497873	 	3.9.5
USER	Initial Scenario	START	1697797587367
REQUEST		GET Store quantity from VTS	1697797587345	1697797587378	OK	 
REQUEST		GET Store quantity from VTS Redirect 1	1697797587403	1697797587417	OK	 
USER	Initial Scenario	END	1697797587523
USER	CDC Inv Adjustment	START	1697797588249
REQUEST		request testing	1697797588439	1697797588439	OK	 
REQUEST		request testing	1697797588830	1697797588830	OK	 
REQUEST		request testing	1697797588878	1697797588878	OK	 
REQUEST		request testing	1697797588926	1697797588926	OK	 
REQUEST		request testing	1697797588972	1697797588972	OK	 
REQUEST		request testing	1697797589011	1697797589011	OK	 
REQUEST		request testing	1697797589076	1697797589076	OK	 
REQUEST		request testing	1697797589130	1697797589130	OK	 
REQUEST		request testing	1697797589167	1697797589167	OK	 
REQUEST		request testing	1697797589217	1697797589217	OK	 
REQUEST		request testing	1697797589282	1697797589282	OK	 
REQUEST		request testing	1697797589325	1697797589325	OK	 
REQUEST		request testing	1697797589382	1697797589382	OK	 
REQUEST		request testing	1697797589409	1697797589409	OK	 
REQUEST		request testing	1697797589442	1697797589442	OK	 
REQUEST		request testing	1697797589489	1697797589489	OK	 
REQUEST		request testing	1697797589526	1697797589526	OK	 
REQUEST		request testing	1697797589560	1697797589560	OK	 
REQUEST		request testing	1697797589659	1697797589659	OK	 
REQUEST		request testing	1697797589720	1697797589720	OK	 
REQUEST		request testing	1697797589759	1697797589759	OK	 
REQUEST		request testing	1697797589788	1697797589788	OK	 
REQUEST		request testing	1697797589826	1697797589826	OK	 
REQUEST		request testing	1697797589861	1697797589861	OK	 
REQUEST		request testing	1697797589893	1697797589893	OK	 
REQUEST		request testing	1697797589919	1697797589919	OK	 
REQUEST		request testing	1697797589966	1697797589966	OK	 
REQUEST		request testing	1697797590007	1697797590007	OK	 
REQUEST		request testing	1697797590041	1697797590041	OK	 
REQUEST		request testing	1697797590073	1697797590073	OK	 
REQUEST		request testing	1697797590106	1697797590106	OK	 
REQUEST		request testing	1697797590140	1697797590140	OK	 
REQUEST		request testing	1697797590177	1697797590177	OK	 
REQUEST		request testing	1697797590206	1697797590206	OK	 
REQUEST		request testing	1697797590249	1697797590249	OK	 
